Name,Amount Correct Noise,Amount Total Noise,Amount Correct Local,Amount Total Local,Total Percent Correct,Epochs
everywhere-less-than-97/33.539299--116.592598,224,234,995,1046,0.95234375,10
everywhere-less-than-97/33.539902--116.591202,1366,1470,1071,1090,0.951953125,10
everywhere-less-than-97/33.607498--116.699303-minmag1,818,865,867,927,0.9402901785714286,10
everywhere-less-than-97/19.164518--155.749054,1428,1465,251,327,0.9369419642857143,10
everywhere-less-than-97/19.493172--155.386017,1435,1436,1123,1124,0.99921875,10
everywhere-less-than-97/38.428562--122.767387-minmag1,361,559,601,721,0.7515625,10
everywhere-less-than-97/38.259876--122.607452,112,472,769,808,0.68828125,10
everywhere-less-than-97/33.042236--116.917252,551,809,763,983,0.7332589285714286,10
everywhere-less-than-97/33.608002--116.6987-minmag1,822,887,846,905,0.9308035714285714,10
everywhere-less-than-97/32.829922--116.6418,399,904,637,888,0.578125,10
everywhere-less-than-97/19.460171--155.27533,1070,1108,896,940,0.9599609375,10
everywhere-less-than-97/38.263695--122.503441,33,463,802,817,0.65234375,10
everywhere-less-than-97/45.4865--123.978104-minmag1,1196,1469,43,67,0.806640625,10
everywhere-less-than-97/32.759655--115.732071-minmag1,452,1476,776,828,0.5329861111111112,10
everywhere-less-than-97/33.6063--116.7005-minmag1,1416,1524,930,1036,0.91640625,10
everywhere-less-than-97/19.296253--155.30748,422,439,1012,1097,0.93359375,10
everywhere-less-than-97/33.606701--116.700203-minmag1,1198,1306,916,998,0.9175347222222222,10
everywhere-less-than-97/19.68466--155.835693,1398,1446,716,858,0.9175347222222222,10
everywhere-less-than-97/33.292229--115.977844-minmag1,598,645,411,635,0.78828125,10
everywhere-less-than-97/19.433613--155.004456,1279,1337,726,967,0.8702256944444444,10
everywhere-less-than-97/37.351501--121.925262,1091,1270,703,778,0.8759765625,10
everywhere-less-than-97/46.556599--122.567299,1465,1546,429,502,0.9248046875,10
everywhere-less-than-97/45.4865--123.978104,1049,1386,98,150,0.7467447916666666,10
